Supplier ID,MAXIMO ITEM#,Tag #,Item,Type,Desription
1509113,541442,"BF-01A04 2-1/2""",Valve,BALL,"VALVE,BALL, 2-1/2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541443,"BF-01A04 24""",Valve,BALL,"VALVE,BALL, 24"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541444,"BF-01A04 3""",Valve,BALL,"VALVE,BALL, 3"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,540219,"BF-01A04 3-1/2""",Valve,BALL,"VALVE,BALL, 3-1/2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541445,"BF-01A04 4""",Valve,BALL,"VALVE,BALL, 4"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541446,"BF-01A04 4-1/2""",Valve,BALL,"VALVE,BALL, 4-1/2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541447,"BF-01A04 5""",Valve,BALL,"VALVE,BALL, 5"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541448,"BF-01A04 6""",Valve,BALL,"VALVE,BALL, 6"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541449,"BF-01A04 8""",Valve,BALL,"VALVE,BALL, 8"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541450,"BF-01A10 10""",Valve,BALL,"VALVE,BALL, 10"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
